health_key,Country Code,Year,capital_health_expenditure_percent_of_gdp,current_health_expenditure_percent_of_gdp,government_health_expenditure_percent_of_gdp,community_health_workers_per_1000,prevalence_of_hiv,prevalence_of_hiv_male,prevalence_of_hiv_female,adults_with_hiv,children_with_hiv,prevalence_of_overweight_adult,prevalence_of_overweight_children_under_5,prevalence_of_severe_wasting_children_under_5,prevalence_of_stunting_children_under_5,prevalence_of_undernourishment,hospital_beds_per_1000,physicians_per_1000,number_of_stillbirths
47,USA,2010,0.68704522,16.25922203,7.94476509,,0.5,0.2,0.1,960000,,64.8,9,0,2.8,2.5,3.05,,12147
48,MEX,2010,0.19516744,5.73688889,2.8809936,,0.3,0.1,0.1,230000,2500,61.7,,,,5,1.05,3.9972,16826
49,IND,2010,0.17793332,3.27211905,0.85750186,0.578,,,,,,16.5,,,,16,0.47,0.6858,535683
50,IDN,2010,0.09928948,2.7908783,0.66109073,,0.3,0.3,0.2,390000,8000,23.4,12.3,5.4,39.2,13,0.57,0.243,60411
51,IRN,2010,0.13986275,6.69382286,2.16590619,,0.1,0.1,0.1,69000,610,57.3,,1.4,6.8,6,1.74,,11414
52,EGY,2010,,4.1531949,1.36768842,,0.1,0.1,0.1,5300,100,59.5,,,,5.4,1.73,,28380
53,KEN,2010,0.21344295,6.11675262,1.77154577,,5.7,1.5,3.3,1200000,180000,22.1,,,,24.2,1.4,0.1696,31077
54,NGA,2011,0.33519816,3.32077932,0.47937733,,1.4,0.4,0.7,1300000,150000,25.6,3,3.1,35.8,8.1,,,160170
55,CAN,2011,0.55770832,10.40052414,7.30276871,,,,,,,61.7,,,,2.5,2.8,,1116
56,USA,2011,0.7024169,16.1985054,7.92789316,,0.5,0.2,0.1,980000,,65.3,,,,2.5,2.97,,11987
57,MEX,2011,0.11883423,5.51883602,2.91415977,,0.3,0.1,0.1,240000,2500,62.3,,,,4.9,1.04,4.2008,16514
58,IND,2011,0.19404872,3.24634194,0.93731916,0.504,,,,,,17,,,,15.6,0.63,0.7376,504042
59,IDN,2011,0.10745579,2.98942471,0.70177156,,0.3,0.3,0.2,420000,9300,24.2,,,,10.7,0.62,,58826
60,IRN,2011,0.17509484,6.57423449,2.19298649,,0.1,0.1,0.1,69000,630,58,,,,6.3,1.74,,11327
61,EGY,2011,0.19583532,4.35706949,1.47459912,,0.1,0.1,0.1,6200,100,60.2,,,,5.1,0.52,,28333
62,KEN,2011,,5.81170082,1.79380906,,5.6,1.5,3.2,1200000,170000,22.6,,2.1,26.3,23.9,,0.1748,30526
63,NGA,2012,0.17587431,3.35984278,0.54436678,,1.4,0.4,0.7,1300000,150000,26.2,,,,8.8,,,162164
64,CAN,2012,0.55659932,10.50637913,7.4011817,,,,,,,62.2,,,,2.5,2.79,2.3962,1110
65,USA,2012,0.70865661,16.17543411,7.90049934,,0.5,0.2,0.1,1000000,,65.8,6.4,0,2.2,2.5,2.93,,11883
66,MEX,2012,0.1054229,5.66522121,3.00721955,,0.3,0.1,0.1,250000,2500,62.8,9,0.4,13.6,4.8,1.03,4.2236,16133
67,IND,2012,0.19756314,3.32935309,0.93186861,,,,,,,17.5,,,,15,0.49,0.6982,482850
68,IDN,2012,0.11114662,2.91427088,0.76724905,,0.3,0.3,0.2,440000,11000,24.9,,,,9.4,0.83,0.2007,57229
69,IRN,2012,0.0876886,6.58410263,2.25898814,,0.1,0.1,0.1,67000,640,58.8,,,,6.2,1.5,,11245
70,EGY,2012,,4.71025944,1.35230184,,0.1,0.1,0.1,7300,200,60.8,,,,5.2,0.52,,28092
