year_key,year_num,decade
0,2005,2000
1,2006,2000
2,2007,2000
3,2008,2000
4,2009,2000
5,2010,2010
6,2011,2010
7,2012,2010
8,2013,2010
9,2014,2010
10,2015,2010
11,2016,2010
12,2017,2010
13,2018,2010
14,2019,2010
15,2020,2020
