population_key,Country Code,Year,life_expectancy_male,life_expectancy_female,birth_rate,death_rate,growth_rate,fertility_rate,total_population,urban_population,rural_population,population_ages_0_to_14,population_ages_15_to_64,population_ages_65_and_above
42,EGY,2009,67.962,72.449,26.584,6.252,1.86445643392217,3.154,81134789.0,34919602.0,46215187.0,26477282.0,50774503.0,3883004.0
43,KEN,2009,57.982,61.844,35.942,7.948,2.7508537992605,4.482,40901798.0,9482264.0,31419534.0,17851720.0,22251937.0,798141.0
44,NGA,2009,49.696,51.171,41.62,14.622,2.66292124478373,5.872,154324939.0,65723905.0,88601034.0,67904274.0,82171811.0,4248854.0
45,CAN,2010,79.1,83.5,11.1,7.0,1.11186407517168,1.6269,34004889.0,27522537.0,6482352.0,5606922.0,23585034.0,4812933.0
46,USA,2010,76.2,81.0,13.0,7.995,0.829616674709795,1.931,309327143.0,249849720.0,59477423.0,62498933.0,206672064.0,40156146.0
47,MEX,2010,72.135,77.979,20.042,5.266,1.43814066910139,2.34,114092961.0,88781438.0,25311523.0,33666194.0,73417829.0,7008938.0
48,IND,2010,65.723,67.73,21.114,7.492,1.35033831370532,2.581,1234281163.0,381763164.0,852517999.0,380285233.0,791275567.0,62720364.0
49,IDN,2010,67.182,71.311,20.795,6.653,1.3377824768766,2.483,241834226.0,120709136.0,121125090.0,69716216.0,160116952.0,12001058.0
50,IRN,2010,72.476,75.431,18.154,4.905,1.14215042395487,1.839,73762519.0,52095517.0,21667002.0,17735659.0,52229817.0,3797043.0
51,EGY,2010,68.178,72.613,27.266,6.218,1.98480507963281,3.233,82761244.0,35603060.0,47158184.0,26943890.0,51850640.0,3966714.0
52,KEN,2010,58.933,62.944,35.128,7.467,2.7225900011839,4.369,42030684.0,9907053.0,32123631.0,18258696.0,22959809.0,812178.0
53,NGA,2010,50.161,51.656,41.341,14.27,2.67144283048865,5.839,158503203.0,68917193.0,89586010.0,69797224.0,84365597.0,4340382.0
54,CAN,2011,79.4,83.6,11.0,7.1,0.978697786570341,1.61,34339328.0,27847821.0,6491507.0,5636891.0,23739986.0,4962451.0
55,USA,2011,76.3,81.1,12.7,8.073,0.726786704810745,1.8945,311583481.0,252208133.0,59375348.0,62395007.0,207902846.0,41285628.0
56,MEX,2011,72.056,77.952,19.766,5.369,1.39478996981758,2.317,115695468.0,90370887.0,25324581.0,33640734.0,74830472.0,7224263.0
