country_key,year_key,education_key,health_key,life_quality_key,population_key,event_key,quality_of_life_index,development_index,human_development_index
3,14,129,130,129,129,-1,117.51,2.0,0.645
2,14,130,131,130,130,-1,107.2,2.0,0.718
4,14,131,132,131,131,-1,87.02,2.0,0.783
1,14,132,133,132,132,-1,83.98,2.0,0.707
5,14,133,134,133,133,-1,,3.0,0.601
7,14,134,126,134,134,-1,,3.0,0.539
0,15,135,136,135,135,-1,163.47,1.0,
8,15,136,137,136,136,-1,172.11,1.0,
6,15,137,138,137,137,-1,118.55,2.0,
3,15,138,139,138,138,-1,108.63,2.0,
2,15,139,140,139,139,-1,97.47,2.0,
4,15,140,141,140,140,-1,74.14,2.0,
1,15,141,142,141,141,-1,86.54,2.0,
5,15,142,143,142,142,-1,70.56,3.0,
7,15,143,135,143,143,-1,55.65,3.0,
